ID,utility_payment_regularity,avg_monthly_utility_spend,mobile_recharge_pattern,household_deprivation_score,housing_type,asset_ownership_count,household_size_to_earners_ratio,primary_income_source
1128,Regular,1285,Bi-weekly,27.8,Pucca,7,1.7,Salaried
1129,Regular,791,Ad-hoc,62.4,Semi-pucca,2,2.0,Agriculture
1130,Regular,1140,Weekly,27.5,Pucca,9,1.5,Salaried
1131,Regular,1174,Weekly,23.1,Semi-pucca,8,1.4,Salaried
1132,Irregular,593,Ad-hoc,75.0,Kutcha,2,2.3,Daily Wage
1133,Regular,986,Ad-hoc,48.8,Pucca,4,1.6,Daily Wage
1134,Irregular,954,Monthly,38.6,Pucca,6,2.0,Business
1135,Regular,1458,Bi-weekly,6.8,Pucca,10,1.5,Salaried
1136,Irregular,806,Ad-hoc,58.0,Pucca,5,2.3,Daily Wage
1137,Irregular,950,Monthly,42.2,Semi-pucca,5,1.5,Daily Wage
1138,Regular,1238,Bi-weekly,10.8,Pucca,8,1.7,Salaried
1139,Irregular,947,Bi-weekly,37.4,Semi-pucca,7,2.0,Daily Wage
1140,Regular,1293,Weekly,13.7,Pucca,8,1.2,Salaried
1141,Irregular,955,Ad-hoc,53.3,Pucca,5,1.5,Daily Wage
1142,Regular,865,Bi-weekly,55.0,Semi-pucca,5,2.5,Daily Wage
1143,Defaulted,801,Monthly,45.3,Semi-pucca,6,2.5,Agriculture
1144,Regular,971,Monthly,18.6,Kutcha,9,1.3,Salaried
1145,Defaulted,1020,Ad-hoc,43.9,Kutcha,4,2.0,Agriculture
1146,Regular,1679,Bi-weekly,8.8,Pucca,7,1.2,Salaried
1147,Irregular,1028,Monthly,30.3,Pucca,6,1.7,Agriculture
1148,Regular,1085,Weekly,22.7,Semi-pucca,10,1.5,Salaried
1149,Regular,1271,Bi-weekly,22.1,Semi-pucca,10,1.3,Salaried
1150,Regular,1176,Weekly,9.3,Semi-pucca,10,1.2,Salaried
1151,Regular,1288,Bi-weekly,29.2,Pucca,7,1.0,Salaried
1152,Regular,1315,Weekly,12.9,Kutcha,7,1.5,Business
1153,Irregular,1183,Bi-weekly,19.3,Pucca,5,1.0,Salaried
1154,Irregular,869,Bi-weekly,38.4,Semi-pucca,5,1.5,Daily Wage
1155,Regular,1204,Weekly,29.0,Semi-pucca,7,1.4,Salaried
1156,Regular,1121,Monthly,19.7,Pucca,10,1.3,Salaried
1157,Regular,1354,Monthly,13.2,Semi-pucca,10,1.2,Business
1158,Regular,1075,Monthly,34.6,Pucca,7,1.6,Daily Wage
1159,Regular,1184,Ad-hoc,36.0,Kutcha,5,1.3,Daily Wage
1160,Regular,1235,Bi-weekly,17.0,Pucca,7,1.3,Salaried
1161,Regular,1608,Weekly,20.7,Kutcha,8,1.5,Salaried
1162,Regular,1150,Weekly,29.8,Pucca,8,1.5,Business
1163,Regular,1278,Weekly,12.9,Semi-pucca,9,1.3,Salaried
1164,Irregular,987,Ad-hoc,32.6,Pucca,6,1.5,Agriculture
1165,Regular,1399,Bi-weekly,11.2,Pucca,10,1.2,Salaried
1166,Irregular,1189,Monthly,14.4,Pucca,9,1.2,Salaried
1167,Regular,1283,Bi-weekly,0.7,Semi-pucca,9,1.2,Salaried
1168,Regular,1181,Monthly,13.9,Pucca,8,1.5,Salaried
1169,Regular,1321,Monthly,4.7,Pucca,10,2.0,Business
1170,Regular,1494,Bi-weekly,20.1,Pucca,8,1.4,Business
1171,Regular,1252,Weekly,17.2,Kutcha,10,1.7,Salaried
1172,Regular,1250,Weekly,5.2,Pucca,10,1.3,Pension
1173,Regular,1255,Bi-weekly,27.0,Pucca,7,1.8,Salaried
1174,Irregular,845,Ad-hoc,52.8,Pucca,5,2.0,Daily Wage
1175,Irregular,846,Monthly,66.8,Kutcha,3,2.0,Daily Wage
1176,Regular,1600,Bi-weekly,6.1,Pucca,9,1.2,Business
1177,Irregular,851,Ad-hoc,30.9,Pucca,6,1.5,Daily Wage
1178,Irregular,679,Ad-hoc,35.3,Kutcha,7,2.0,Agriculture
1179,Irregular,1234,Monthly,40.4,Semi-pucca,7,1.7,Daily Wage
1180,Regular,1067,Bi-weekly,21.4,Pucca,9,1.5,Business
1181,Irregular,787,Bi-weekly,34.1,Pucca,8,1.5,Daily Wage
1182,Irregular,872,Bi-weekly,41.2,Semi-pucca,5,1.5,Daily Wage
1183,Regular,634,Ad-hoc,57.2,Pucca,6,2.5,Daily Wage
1184,Regular,969,Bi-weekly,29.3,Semi-pucca,6,1.3,Business
1185,Regular,1476,Weekly,3.9,Pucca,8,1.2,Salaried
1186,Regular,1104,Monthly,22.3,Pucca,6,1.5,Salaried
1187,Defaulted,799,Monthly,34.0,Pucca,6,1.6,Agriculture
1188,Regular,1202,Bi-weekly,18.4,Semi-pucca,8,1.0,Business
1189,Irregular,853,Ad-hoc,38.9,Pucca,7,2.0,Daily Wage
1190,Regular,1272,Weekly,8.5,Pucca,9,1.3,Salaried
1191,Irregular,665,Monthly,64.3,Pucca,2,1.7,Daily Wage
1192,Regular,1320,Monthly,18.0,Semi-pucca,8,1.4,Salaried
1193,Regular,1220,Weekly,9.9,Semi-pucca,9,1.4,Salaried
1194,Regular,1352,Weekly,13.2,Pucca,7,1.3,Salaried
1195,Defaulted,641,Monthly,48.7,Semi-pucca,4,2.0,Agriculture
1196,Regular,1369,Weekly,14.2,Semi-pucca,8,1.5,Salaried
1197,Irregular,1229,Ad-hoc,32.0,Pucca,9,1.6,Daily Wage
1198,Irregular,725,Bi-weekly,58.3,Semi-pucca,4,4.0,Daily Wage
1199,Regular,1144,Bi-weekly,12.8,Pucca,10,1.2,Business
1200,Defaulted,686,Monthly,51.1,Semi-pucca,3,2.0,Daily Wage
1201,Defaulted,946,Ad-hoc,40.9,Pucca,7,1.8,Agriculture
1202,Regular,1525,Bi-weekly,4.1,Semi-pucca,10,1.4,Business
1203,Regular,858,Monthly,43.8,Semi-pucca,3,2.0,Daily Wage
1204,Regular,1067,Ad-hoc,44.4,Pucca,5,1.5,Agriculture
1205,Regular,1199,Weekly,3.6,Semi-pucca,10,1.5,Business
1206,Regular,1064,Bi-weekly,26.0,Pucca,8,1.3,Salaried
1207,Regular,1076,Monthly,28.8,Pucca,6,1.7,Salaried
1208,Regular,1200,Bi-weekly,20.9,Pucca,8,1.7,Salaried
1209,Regular,1149,Bi-weekly,18.5,Semi-pucca,7,1.2,Salaried
1210,Regular,1495,Weekly,7.2,Semi-pucca,9,1.2,Business
1211,Irregular,1194,Bi-weekly,34.8,Kutcha,8,1.3,Daily Wage
1212,Regular,1365,Weekly,0.9,Semi-pucca,9,1.3,Salaried
1213,Regular,1029,Monthly,27.1,Pucca,8,1.7,Business
1214,Regular,1089,Monthly,20.6,Pucca,7,1.2,Business
1215,Regular,1285,Weekly,23.5,Semi-pucca,7,1.2,Business
1216,Regular,899,Monthly,37.0,Pucca,7,1.3,Daily Wage
1217,Defaulted,967,Weekly,20.7,Pucca,9,1.4,Salaried
1218,Irregular,851,Monthly,33.2,Semi-pucca,8,1.5,Daily Wage
1219,Regular,1225,Weekly,24.4,Pucca,6,1.5,Salaried
1220,Regular,1007,Bi-weekly,18.3,Semi-pucca,8,1.0,Salaried
1221,Regular,1052,Monthly,26.5,Pucca,8,1.5,Salaried
1222,Regular,1005,Ad-hoc,37.1,Semi-pucca,6,2.0,Agriculture
1223,Defaulted,791,Ad-hoc,33.9,Kutcha,5,2.0,Agriculture
1224,Irregular,1407,Bi-weekly,1.6,Pucca,10,1.2,Salaried
1225,Irregular,947,Ad-hoc,37.0,Pucca,5,1.7,Agriculture
1226,Defaulted,792,Monthly,30.9,Pucca,9,1.5,Agriculture
1227,Regular,1389,Weekly,3.4,Semi-pucca,10,1.4,Salaried
1228,Regular,1006,Monthly,40.8,Semi-pucca,7,1.7,Agriculture
1229,Regular,1110,Bi-weekly,28.7,Semi-pucca,9,1.5,Business
1230,Regular,780,Ad-hoc,62.7,Semi-pucca,4,2.0,Daily Wage
1231,Irregular,1293,Bi-weekly,13.0,Pucca,10,1.7,Salaried
1232,Regular,1097,Ad-hoc,36.8,Kutcha,8,1.5,Daily Wage
1233,Irregular,1040,Weekly,20.7,Semi-pucca,8,1.7,Salaried
1234,Irregular,652,Ad-hoc,50.2,Pucca,5,2.0,Agriculture
1235,Regular,954,Monthly,25.7,Pucca,5,1.5,Salaried
1236,Regular,621,Ad-hoc,60.4,Kutcha,4,2.2,Daily Wage
1237,Regular,1596,Monthly,7.8,Semi-pucca,10,1.2,Business
1238,Regular,962,Bi-weekly,29.6,Semi-pucca,8,1.3,Salaried
1239,Irregular,921,Monthly,36.8,Kutcha,7,3.0,Daily Wage
1240,Irregular,934,Monthly,39.3,Semi-pucca,5,2.0,Agriculture
1241,Irregular,767,Ad-hoc,52.9,Semi-pucca,2,1.7,Daily Wage
1242,Irregular,1313,Ad-hoc,31.0,Pucca,6,1.5,Daily Wage
1243,Regular,1095,Weekly,5.7,Pucca,9,1.2,Business
1244,Regular,1534,Bi-weekly,15.6,Semi-pucca,8,1.8,Salaried
1245,Regular,1315,Bi-weekly,9.5,Pucca,10,2.0,Business
1246,Regular,809,Bi-weekly,65.9,Semi-pucca,6,1.8,Business
1247,Regular,1144,Weekly,23.5,Pucca,8,1.4,Business
1248,Regular,1291,Weekly,20.2,Pucca,8,1.0,Salaried
1249,Defaulted,892,Monthly,34.1,Pucca,6,1.3,Daily Wage
1250,Defaulted,801,Bi-weekly,37.1,Pucca,6,1.8,Agriculture
1251,Regular,1479,Weekly,25.8,Pucca,6,1.4,Business
1252,Irregular,1306,Bi-weekly,32.8,Pucca,7,2.5,Daily Wage
1253,Regular,790,Ad-hoc,42.0,Kutcha,6,1.7,Agriculture
1254,Irregular,1356,Bi-weekly,13.1,Pucca,9,1.8,Salaried
1255,Regular,1201,Ad-hoc,32.8,Pucca,7,1.2,Agriculture
1256,Regular,1152,Ad-hoc,30.9,Pucca,7,1.0,Daily Wage
1257,Defaulted,883,Ad-hoc,44.3,Semi-pucca,3,1.7,Daily Wage
1258,Defaulted,1186,Ad-hoc,45.2,Pucca,6,1.0,Agriculture
1259,Regular,1301,Monthly,17.7,Semi-pucca,7,1.3,Salaried
1260,Regular,1197,Weekly,6.6,Semi-pucca,8,1.3,Business
1261,Regular,1053,Monthly,26.6,Pucca,6,1.3,Business
1262,Irregular,865,Ad-hoc,35.0,Pucca,7,1.5,Daily Wage
1263,Irregular,817,Monthly,51.6,Kutcha,5,1.7,Daily Wage
1264,Regular,1259,Weekly,11.0,Semi-pucca,7,1.3,Business
1265,Regular,1436,Bi-weekly,6.3,Pucca,10,1.3,Salaried
1266,Irregular,1357,Weekly,13.3,Pucca,7,1.3,Salaried
1267,Regular,1390,Weekly,5.8,Pucca,10,1.5,Salaried
1268,Irregular,1092,Ad-hoc,32.5,Pucca,7,1.8,Agriculture
1269,Regular,1228,Bi-weekly,28.9,Pucca,8,1.4,Salaried
1270,Irregular,979,Ad-hoc,35.3,Semi-pucca,9,1.8,Business
1271,Irregular,917,Bi-weekly,13.4,Pucca,7,1.5,Salaried
1272,Regular,1248,Ad-hoc,40.7,Pucca,6,2.0,Daily Wage
1273,Regular,1100,Weekly,15.6,Semi-pucca,8,1.3,Salaried
1274,Regular,1170,Bi-weekly,29.7,Semi-pucca,8,2.0,Salaried
1275,Regular,644,Monthly,64.3,Pucca,4,2.2,Daily Wage
1276,Regular,1439,Monthly,14.2,Semi-pucca,8,1.4,Salaried
1277,Regular,1081,Weekly,16.7,Pucca,8,1.4,Business
1278,Regular,1157,Bi-weekly,13.0,Semi-pucca,7,1.3,Salaried
1279,Regular,1134,Weekly,17.8,Pucca,9,1.7,Salaried
1280,Regular,1289,Bi-weekly,17.1,Pucca,9,1.3,Business
1281,Irregular,1227,Monthly,18.5,Pucca,9,1.3,Business
1282,Regular,1238,Weekly,21.9,Pucca,7,1.5,Business
1283,Irregular,1045,Monthly,33.8,Kutcha,6,1.8,Daily Wage
1284,Regular,1023,Ad-hoc,46.0,Pucca,4,1.8,Daily Wage
1285,Defaulted,1201,Ad-hoc,30.1,Pucca,7,2.0,Daily Wage
1286,Irregular,1346,Bi-weekly,24.1,Pucca,6,1.5,Business
1287,Regular,1402,Weekly,4.2,Pucca,10,1.0,Business
1288,Irregular,733,Monthly,64.9,Pucca,2,3.0,Agriculture
1289,Regular,1338,Bi-weekly,28.1,Pucca,8,1.5,Salaried
1290,Regular,1247,Weekly,29.1,Semi-pucca,9,1.5,Business
1291,Irregular,871,Bi-weekly,54.6,Kutcha,5,1.4,Daily Wage
1292,Regular,996,Weekly,19.0,Kutcha,8,1.0,Salaried
1293,Regular,890,Bi-weekly,24.9,Pucca,6,1.5,Salaried
1294,Irregular,1002,Ad-hoc,43.9,Semi-pucca,4,2.0,Daily Wage
1295,Regular,981,Ad-hoc,46.4,Pucca,6,1.7,Business
1296,Regular,1004,Bi-weekly,26.7,Pucca,9,1.7,Salaried
1297,Regular,1139,Bi-weekly,28.2,Pucca,7,2.0,Salaried
1298,Irregular,645,Monthly,56.9,Kutcha,3,2.3,Agriculture
1299,Regular,1234,Bi-weekly,22.4,Semi-pucca,5,1.3,Salaried
1300,Regular,1230,Weekly,23.1,Kutcha,7,2.0,Salaried
1301,Defaulted,1094,Ad-hoc,35.3,Kutcha,6,1.5,Daily Wage
1302,Regular,1191,Monthly,23.2,Semi-pucca,10,1.7,Salaried
1303,Regular,1096,Monthly,23.8,Semi-pucca,8,1.7,Business
1304,Irregular,968,Ad-hoc,36.5,Semi-pucca,7,1.5,Daily Wage
1305,Irregular,1107,Ad-hoc,41.3,Pucca,5,1.8,Agriculture
1306,Regular,1302,Monthly,14.1,Pucca,8,1.7,Salaried
1307,Regular,1161,Weekly,27.9,Pucca,9,1.2,Pension
1308,Regular,887,Ad-hoc,47.7,Semi-pucca,5,2.0,Daily Wage
1309,Regular,1093,Monthly,36.2,Semi-pucca,4,1.7,Daily Wage
1310,Regular,1208,Monthly,29.6,Pucca,6,1.6,Salaried
1311,Regular,931,Bi-weekly,34.6,Kutcha,6,1.5,Daily Wage
1312,Regular,1363,Weekly,10.8,Semi-pucca,8,1.2,Business
1313,Regular,1118,Bi-weekly,22.7,Pucca,8,2.0,Business
1314,Regular,1278,Weekly,15.1,Pucca,8,1.5,Business
1315,Regular,1192,Weekly,29.5,Pucca,7,1.3,Business
1316,Regular,606,Ad-hoc,53.6,Pucca,6,2.0,Daily Wage
1317,Defaulted,1096,Bi-weekly,13.8,Semi-pucca,8,1.3,Salaried
1318,Regular,1016,Weekly,26.4,Pucca,10,2.0,Salaried
1319,Regular,1114,Bi-weekly,16.7,Pucca,8,1.5,Business
1320,Regular,1235,Bi-weekly,12.9,Semi-pucca,9,1.5,Business
1321,Regular,1277,Ad-hoc,32.7,Semi-pucca,6,1.2,Agriculture
1322,Regular,1437,Bi-weekly,11.6,Pucca,9,1.3,Salaried
1323,Regular,946,Bi-weekly,33.8,Semi-pucca,7,1.6,Daily Wage
1324,Regular,1125,Monthly,36.0,Semi-pucca,7,1.0,Agriculture
1325,Regular,1202,Weekly,17.4,Pucca,7,1.5,Salaried
1326,Regular,1141,Weekly,27.8,Pucca,6,1.3,Business
1327,Irregular,521,Monthly,67.4,Kutcha,6,3.0,Daily Wage
1328,Regular,1175,Weekly,3.6,Pucca,9,1.3,Salaried
1329,Irregular,1255,Bi-weekly,22.4,Pucca,9,1.3,Salaried
1330,Regular,746,Ad-hoc,59.8,Semi-pucca,2,3.0,Agriculture
1331,Irregular,1091,Ad-hoc,34.7,Semi-pucca,6,1.6,Agriculture
1332,Regular,1179,Bi-weekly,40.3,Pucca,6,2.0,Daily Wage
1333,Irregular,785,Bi-weekly,52.8,Pucca,5,1.7,Daily Wage
1334,Irregular,861,Ad-hoc,46.0,Kutcha,2,1.8,Agriculture
1335,Regular,1278,Bi-weekly,33.5,Pucca,7,1.6,Agriculture
1336,Irregular,973,Ad-hoc,39.0,Kutcha,5,2.0,Agriculture
1337,Regular,1126,Bi-weekly,14.7,Pucca,9,1.5,Pension
1338,Regular,1246,Bi-weekly,23.4,Pucca,6,1.3,Salaried
1339,Irregular,777,Monthly,53.6,Pucca,4,3.0,Daily Wage
1340,Defaulted,684,Monthly,54.6,Pucca,4,2.0,Daily Wage
1341,Regular,1089,Weekly,29.3,Pucca,6,1.3,Salaried
1342,Regular,1229,Weekly,26.1,Pucca,7,1.5,Business
1343,Regular,1076,Weekly,14.6,Pucca,7,1.5,Salaried
1344,Regular,812,Ad-hoc,38.4,Pucca,4,2.0,Daily Wage
1345,Regular,1347,Weekly,3.7,Pucca,10,1.2,Salaried
1346,Regular,1078,Bi-weekly,15.3,Pucca,7,1.2,Business
1347,Irregular,859,Monthly,32.9,Pucca,6,1.7,Agriculture
1348,Regular,1067,Bi-weekly,30.3,Pucca,8,2.0,Daily Wage
1349,Regular,1261,Weekly,26.6,Pucca,7,1.5,Salaried
1350,Regular,1247,Weekly,23.9,Pucca,7,1.5,Business
1351,Regular,1311,Weekly,6.7,Semi-pucca,10,1.2,Salaried
1352,Irregular,983,Bi-weekly,54.2,Pucca,6,2.5,Daily Wage
1353,Irregular,1459,Weekly,16.7,Semi-pucca,7,1.4,Salaried
1354,Defaulted,1125,Monthly,31.3,Pucca,7,1.3,Daily Wage
1355,Irregular,715,Ad-hoc,57.5,Semi-pucca,2,1.8,Daily Wage
1356,Irregular,1151,Ad-hoc,42.5,Semi-pucca,5,1.5,Business
1357,Irregular,948,Bi-weekly,60.3,Semi-pucca,4,2.0,Agriculture
1358,Regular,1254,Weekly,16.4,Pucca,7,1.5,Business
1359,Regular,1341,Bi-weekly,20.9,Pucca,7,1.7,Salaried
1360,Irregular,761,Ad-hoc,48.1,Semi-pucca,4,2.3,Daily Wage
1361,Regular,834,Monthly,25.1,Pucca,8,1.6,Salaried
1362,Regular,1113,Weekly,13.7,Pucca,10,1.0,Salaried
1363,Irregular,741,Monthly,62.5,Semi-pucca,2,1.7,Daily Wage
1364,Regular,1178,Bi-weekly,19.2,Pucca,7,1.5,Salaried
1365,Regular,1205,Bi-weekly,29.9,Pucca,8,1.5,Salaried
1366,Regular,896,Weekly,26.8,Pucca,9,1.0,Salaried
1367,Irregular,848,Ad-hoc,31.4,Semi-pucca,5,1.6,Agriculture
1368,Irregular,1323,Weekly,16.6,Semi-pucca,8,1.0,Salaried
1369,Regular,1160,Weekly,3.5,Pucca,10,1.0,Business
1370,Regular,981,Monthly,34.6,Semi-pucca,6,1.2,Daily Wage
1371,Irregular,1020,Bi-weekly,34.8,Kutcha,4,2.0,Agriculture
1372,Irregular,1218,Bi-weekly,8.2,Pucca,10,1.5,Salaried
1373,Regular,1243,Bi-weekly,21.6,Pucca,10,1.5,Salaried
1374,Regular,1020,Bi-weekly,8.3,Semi-pucca,9,1.2,Salaried
1375,Regular,1198,Monthly,41.7,Semi-pucca,5,2.3,Daily Wage
1376,Regular,1257,Weekly,8.8,Pucca,9,1.5,Business
1377,Irregular,987,Monthly,35.3,Kutcha,9,1.2,Agriculture
1378,Regular,1356,Monthly,38.2,Pucca,7,1.7,Daily Wage
1379,Regular,930,Bi-weekly,25.4,Semi-pucca,8,1.5,Salaried
1380,Regular,586,Monthly,60.7,Semi-pucca,4,2.5,Daily Wage
1381,Regular,1575,Bi-weekly,1.9,Kutcha,9,1.4,Salaried
1382,Irregular,721,Ad-hoc,41.9,Pucca,6,1.3,Daily Wage
1383,Irregular,1094,Bi-weekly,34.0,Semi-pucca,7,1.3,Agriculture
1384,Regular,781,Ad-hoc,48.5,Semi-pucca,6,2.0,Daily Wage
1385,Irregular,497,Monthly,61.5,Pucca,6,2.0,Agriculture
1386,Regular,1163,Bi-weekly,28.2,Pucca,9,1.8,Salaried
1387,Regular,1215,Bi-weekly,23.9,Pucca,6,1.0,Salaried
1388,Irregular,809,Bi-weekly,53.7,Semi-pucca,5,1.8,Agriculture
1389,Regular,1503,Bi-weekly,16.9,Pucca,9,1.7,Salaried
1390,Regular,827,Ad-hoc,42.2,Semi-pucca,7,1.0,Daily Wage
1391,Regular,1162,Bi-weekly,32.6,Semi-pucca,6,1.0,Agriculture
1392,Regular,822,Ad-hoc,56.7,Semi-pucca,8,2.0,Daily Wage
1393,Regular,1457,Weekly,7.1,Semi-pucca,8,1.4,Salaried
1394,Regular,1261,Bi-weekly,6.2,Pucca,8,1.4,Business
1395,Regular,977,Monthly,20.8,Kutcha,8,1.5,Business
1396,Regular,998,Bi-weekly,27.8,Semi-pucca,10,1.7,Salaried
1397,Defaulted,964,Monthly,38.8,Pucca,5,1.7,Daily Wage
1398,Regular,1344,Weekly,13.7,Pucca,8,1.3,Salaried
1399,Regular,1355,Weekly,4.3,Pucca,10,1.3,Business
1400,Defaulted,657,Ad-hoc,70.3,Kutcha,3,2.0,Daily Wage
1401,Regular,1418,Bi-weekly,20.3,Pucca,8,1.3,Salaried
1402,Irregular,886,Monthly,46.4,Semi-pucca,6,2.0,Agriculture
1403,Regular,1193,Monthly,12.0,Semi-pucca,9,1.3,Salaried
1404,Irregular,1210,Weekly,22.8,Pucca,9,1.4,Salaried
1405,Regular,1061,Bi-weekly,9.0,Pucca,10,1.2,Business
1406,Regular,445,Ad-hoc,64.9,Kutcha,4,2.0,Daily Wage
1407,Regular,1176,Bi-weekly,18.6,Pucca,8,1.0,Salaried
1408,Regular,1192,Bi-weekly,7.0,Kutcha,10,1.3,Salaried
1409,Defaulted,715,Monthly,54.5,Pucca,5,1.7,Agriculture
1410,Regular,1302,Monthly,20.8,Kutcha,8,2.0,Salaried
1411,Irregular,830,Monthly,58.5,Pucca,4,2.0,Daily Wage
1412,Regular,1012,Ad-hoc,34.3,Pucca,8,1.5,Agriculture
1413,Regular,1095,Bi-weekly,28.7,Pucca,9,1.8,Salaried
1414,Defaulted,878,Bi-weekly,42.0,Semi-pucca,4,1.7,Agriculture
1415,Regular,1345,Bi-weekly,15.7,Semi-pucca,8,2.0,Salaried
1416,Regular,1296,Bi-weekly,19.5,Pucca,7,1.2,Salaried
1417,Regular,1207,Ad-hoc,30.1,Semi-pucca,7,2.0,Daily Wage
1418,Defaulted,1073,Ad-hoc,41.7,Semi-pucca,6,1.3,Daily Wage
1419,Regular,1100,Monthly,27.9,Pucca,8,2.0,Salaried
1420,Irregular,1253,Weekly,4.4,Semi-pucca,9,1.2,Salaried
1421,Irregular,1037,Ad-hoc,30.9,Pucca,5,1.5,Agriculture
1422,Regular,1174,Weekly,22.0,Pucca,7,1.5,Salaried
1423,Regular,999,Bi-weekly,27.8,Semi-pucca,8,2.0,Business
1424,Regular,1355,Weekly,24.8,Semi-pucca,4,1.5,Salaried
1425,Regular,1360,Weekly,24.4,Kutcha,9,1.8,Salaried
1426,Regular,1067,Weekly,28.7,Semi-pucca,8,2.0,Salaried
1427,Regular,1041,Monthly,45.7,Pucca,7,2.0,Agriculture
1428,Irregular,1351,Weekly,11.6,Semi-pucca,9,1.2,Salaried
1429,Irregular,1095,Bi-weekly,21.3,Pucca,5,1.7,Business
1430,Irregular,1337,Weekly,10.9,Kutcha,9,1.2,Business
1431,Regular,1063,Bi-weekly,20.7,Pucca,9,1.4,Salaried
1432,Regular,970,Weekly,27.9,Pucca,8,1.4,Salaried
1433,Regular,1338,Weekly,11.7,Pucca,8,1.2,Salaried
1434,Regular,1121,Monthly,31.5,Pucca,7,3.0,Agriculture
1435,Defaulted,1429,Monthly,31.6,Pucca,6,1.0,Daily Wage
1436,Irregular,1230,Weekly,13.4,Semi-pucca,8,1.3,Business
1437,Regular,1080,Monthly,22.3,Semi-pucca,9,1.5,Business
1438,Irregular,1480,Weekly,4.4,Pucca,8,1.0,Salaried
1439,Regular,1246,Bi-weekly,13.7,Semi-pucca,8,3.0,Salaried
1440,Regular,1096,Weekly,19.4,Pucca,7,1.3,Business
1441,Irregular,1125,Monthly,17.5,Pucca,6,1.3,Business
1442,Regular,1309,Weekly,5.9,Pucca,10,2.0,Business
1443,Regular,1434,Monthly,10.2,Semi-pucca,10,1.4,Salaried
1444,Regular,1216,Weekly,22.2,Semi-pucca,8,1.5,Salaried
1445,Irregular,733,Bi-weekly,50.0,Semi-pucca,3,2.0,Daily Wage
1446,Irregular,1215,Ad-hoc,40.1,Semi-pucca,7,2.0,Agriculture
1447,Regular,974,Bi-weekly,27.1,Pucca,9,1.7,Salaried
1448,Irregular,898,Bi-weekly,36.2,Semi-pucca,6,2.5,Daily Wage
1449,Regular,985,Monthly,52.5,Pucca,4,1.5,Agriculture
1450,Regular,1506,Bi-weekly,9.4,Pucca,10,1.2,Salaried
1451,Defaulted,853,Bi-weekly,54.2,Semi-pucca,7,2.0,Daily Wage
1452,Regular,805,Monthly,37.6,Kutcha,6,1.6,Daily Wage
1453,Regular,910,Ad-hoc,45.7,Semi-pucca,4,3.0,Daily Wage
1454,Regular,1097,Bi-weekly,10.1,Pucca,10,1.3,Salaried
1455,Irregular,1529,Weekly,19.8,Pucca,9,2.0,Salaried
1456,Irregular,954,Ad-hoc,44.2,Kutcha,6,1.0,Business
1457,Irregular,1232,Weekly,25.5,Semi-pucca,7,1.6,Business
1458,Regular,1093,Weekly,23.1,Semi-pucca,9,1.3,Salaried
1459,Irregular,1073,Monthly,52.7,Semi-pucca,5,1.5,Daily Wage
1460,Regular,1073,Monthly,23.3,Semi-pucca,7,1.5,Salaried
1461,Regular,937,Bi-weekly,31.1,Pucca,7,1.5,Agriculture
1462,Irregular,865,Bi-weekly,52.5,Pucca,3,1.8,Agriculture
1463,Irregular,907,Ad-hoc,56.0,Pucca,5,2.0,Agriculture
1464,Regular,1555,Weekly,13.0,Pucca,8,1.3,Business
1465,Regular,1376,Bi-weekly,22.7,Semi-pucca,7,1.3,Business
1466,Regular,1133,Ad-hoc,39.4,Kutcha,6,2.0,Business
1467,Regular,647,Ad-hoc,59.7,Pucca,4,2.0,Daily Wage
1468,Regular,1155,Weekly,13.3,Pucca,10,1.7,Salaried
1469,Irregular,834,Ad-hoc,40.3,Pucca,7,1.5,Daily Wage
1470,Regular,1116,Monthly,23.9,Pucca,7,1.4,Pension
1471,Regular,559,Bi-weekly,52.1,Semi-pucca,6,2.5,Daily Wage
1472,Regular,1431,Bi-weekly,14.5,Semi-pucca,9,1.7,Business
1473,Irregular,673,Monthly,53.0,Kutcha,4,2.0,Business
1474,Irregular,809,Monthly,39.1,Semi-pucca,6,1.8,Agriculture
1475,Irregular,1108,Monthly,21.3,Semi-pucca,8,1.3,Business
1476,Regular,1136,Bi-weekly,6.9,Pucca,10,1.5,Business
1477,Regular,1105,Monthly,35.0,Pucca,6,1.4,Business
1478,Regular,985,Bi-weekly,25.4,Pucca,7,1.5,Salaried
1479,Regular,1415,Bi-weekly,5.0,Pucca,10,1.5,Salaried
1480,Defaulted,936,Ad-hoc,53.9,Semi-pucca,6,1.2,Daily Wage
1481,Regular,1083,Weekly,21.8,Pucca,7,1.5,Salaried
1482,Regular,736,Monthly,51.2,Pucca,6,2.0,Daily Wage
1483,Regular,887,Monthly,36.4,Pucca,7,1.8,Agriculture
1484,Irregular,649,Ad-hoc,54.5,Kutcha,5,2.0,Agriculture
1485,Regular,1317,Weekly,2.1,Pucca,10,1.2,Salaried
1486,Irregular,1075,Bi-weekly,30.4,Semi-pucca,8,1.5,Daily Wage
1487,Irregular,489,Ad-hoc,65.2,Semi-pucca,4,2.0,Daily Wage
1488,Regular,1154,Monthly,14.1,Pucca,9,1.5,Salaried
1489,Regular,1093,Bi-weekly,29.9,Pucca,8,1.4,Salaried
1490,Regular,1300,Monthly,9.4,Semi-pucca,9,1.2,Salaried
1491,Irregular,327,Ad-hoc,63.6,Semi-pucca,4,2.3,Agriculture
1492,Regular,1248,Bi-weekly,21.8,Semi-pucca,8,1.3,Salaried
